Countries,MothersCash,ChildrenCoverd,DistributionB40,DistributionT20,DistributionB20,HouseholdB40,HouseholdT20,HouseholdB20,Gini,Palma,GDP
Afghanistan,,,,,,,,,,,556.3
Albania,,,28.2,30.3,13.5,,37.8,8.9,29,,4532.9
Algeria,11.2,,,,,,37.2,9.4,27.6,,4048.3
Andorra,,,,,,,,,,,39134.4
Angola,,,,,,,,,,2.2,4095.8
Anguilla,,,,,,,,,,,
Antigua and Barbuda,40,,,,,,,,,,15824.7
Argentina,34,84.6,16.7,39.6,6.7,15.3,46,5.2,40.6,2.4,14591.9
Armenia,61,21.4,37.7,23.1,17.8,20.8,42.4,8.4,33.6,1.2,3914.5
Australia,,100,,,,18.8,43,6.8,35.8,,54093.6
Austria,100,100,,,,21.1,38.4,7.9,30.5,,47380.8
Azerbaijan,14,,29.4,32.4,17.3,,,,,,4147.1
Bahamas,,,,,,,,,,,31857.9
Bahrain,,,,,,,,,,,23715.5
Bangladesh,20.9,29.4,20,52.7,8.7,21,41.4,8.6,32.4,1.3,1564
Barbados,,,,,,,,,,,16327.6
Belarus,,,37.3,21.8,16.9,24.1,35.5,9.9,25.4,0.9,5761.7
Belgium,100,100,,,,22.6,36.5,8.6,27.7,,43507.2
Belize,,,40.4,32.5,18.9,,,,,,4956.8
Benin,,,,,,,52.1,3.2,47.8,,827.4
Bhutan,,,16.5,41.1,1.3,,44.4,6.7,37.4,1.8,3390.7
Bolivia (Plurinational State of),51.5,65,29.3,37.3,14.5,,,,,,3351.1
Bosnia and Herzegovina,,,27.8,29,11.8,,40.7,7.5,33,,5394.6
Botswana,,5.5,28.5,28.6,12.8,,58.5,3.9,53.3,,7893.7
Brazil,45,96.8,12.6,51.7,4.2,,57.8,3.2,53.3,4.3,9880.9
British Virgin Islands,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,28572.1
Bulgaria,100,48.6,,,,17.8,43.9,6,37.4,,8228
Burkina Faso,0.4,,3.8,69.5,1.5,,44.3,8.3,35.3,1.9,642
Burundi,,,,,,,46.3,6.9,38.6,,293
Cabo Verde,,31.5,,,,,,,,,3295.3
Cambodia,1.5,,8.7,46.9,0.1,,,,,1.5,1385.3
Cameroon,0.6,0.4,2.9,59.4,0.7,,51.7,4.5,46.6,,1421.6
Canada,100,39.7,,,,18.9,40.7,6.6,34,,45069.9
Central African Republic,,1,,,,,,,,,471.6
Chad,,,15.2,45.7,1.6,,48.8,4.9,43.3,,664.3
Chile,44,93.1,17.1,48.8,7.6,,52.9,5.2,46.6,3.5,15037.4
China,64.9,2.2,9.2,51.1,3,17,45.4,6.4,38.6,2.1,8759
Colombia,,27.3,6.7,71.7,3,12.4,54.8,4.1,49.7,4.5,6375.9
Comoros,,,,,,,50.4,4.5,45.3,,1312.4
Congo,,,,,,,53.7,4.2,48.9,,1702.6
Cook Islands,,,,,,,,,,,
Costa Rica,,17.7,13.1,61.2,5.3,12.8,54,4.4,48.3,3.3,11752.5
Côte d'Ivoire,,,16.3,52.8,6.6,,47.8,5.7,41.5,,1557.2
Croatia,100,,29.1,30.5,13.1,20.4,38.4,7.3,31.1,,13383.7
Cuba,,,,,,,,,,,8541.2
Cyprus,100,60.3,,,,20,42.1,7.9,34,,25760.8
Czechia,100,,,,,24.4,35.9,9.7,25.9,,20379.9
Democratic People's Republic of Korea,,,,,,,,,,,
Democratic Republic of the Congo,,1.3,8.2,63.9,3.4,,48.4,5.5,42.1,,467.1
Denmark,100,100,,,,23.3,37.7,9.4,28.2,,57218.9
Djibouti,,,22.3,43.3,10.3,,47.6,5.4,41.6,,1953.9
Dominica,,,,,,,,,,,6951.3
Dominican Republic,,,20.4,44.6,8.5,13.9,51.5,4.9,45.7,2.7,7222.6
Ecuador,,6.7,14,61.6,6.7,14.1,50.1,4.7,44.7,3.1,6213.5
Egypt,100,,15.6,53.5,7.2,21.9,41.5,9.1,31.8,,2440.5
El Salvador,,,7.2,70.9,2.4,17.4,44.7,6.4,38,3,3902.2
Equatorial Guinea,,,,,,,,,,,9738.4
Eritrea,,,,,,,,,,,811.4
Estonia,100,100,,,,20,40.4,7.5,32.7,,20200.4
Eswatini,,,24.7,36.9,13.7,,,,,3.5,3941.9
Ethiopia,,,,,,17.6,46.7,6.6,39.1,1.4,768
Fiji,,,22.8,34.3,9.5,,44.7,7.5,36.7,2.2,6006.4
Finland,100,100,,,,23.4,36.7,9.4,27.1,,45804.7
France,100,100,,,,20.7,40.9,7.9,32.7,,38679.1
Gabon,,,,,,,44.4,6,38,,7212.5
Gambia,,,7.6,58.7,3.4,19,43.6,7.4,35.9,,672.8
Georgia,24,,39.8,19,20.4,17.4,44.5,6.3,37.9,2.1,4045.4
Germany,100,100,,,,20.7,39.7,7.8,31.7,,44681.1
Ghana,41.7,5.6,3,48.3,0.7,,48.6,4.7,43.5,,2025.9
Greece,100,,,,,17.7,41.8,5.9,36,,18883.5
Grenada,,,,,,,,,,,10163.6
Guatemala,14,3.1,2.3,83.2,1,,53.6,4.5,48.3,,4470.6
Guinea,,,7.6,54.3,4.1,,41.5,7.6,33.7,,821.7
Guinea-Bissau,,,,,,12.8,56.7,4.5,50.7,,736.7
Guyana,,,,,,,,,,,4586.1
Haiti,,,0.4,97.3,0,,47.1,5.5,41.1,,765.6
Holy See,,,,,,,,,,,
Honduras,,,16.6,61.4,7.6,11,54.6,3.2,50.5,5.2,2432.9
Hungary,100,100,,,,21.1,38.4,7.8,30.4,,14278.9
Iceland,100,,,,,23.2,37.3,9.4,27.8,,71314.8
India,41,,42.9,16.5,22.3,,44.4,8.1,35.7,1.4,1981.5
Indonesia,,,63.2,4.1,35.5,17.5,45.2,6.8,38.1,1.7,3836.9
Iran (Islamic Republic of),14,,,,,,46.7,6.1,40,,5627.7
Iraq,,,21.5,41.5,9.1,,38.5,8.8,29.5,,5143.7
Ireland,100,100,,,,20.9,40.2,8,31.8,,68941.8
Israel,,,,,,15.9,44.2,5.2,38.9,,40543.6
Italy,100,,,,,18,41.3,5.9,35.4,,32155.2
Jamaica,,,29,34.1,14.6,,,,,,5060.5
Japan,,,,,,,,,,,38332
Jordan,,,25.1,38.8,12.2,20.3,42.4,8.2,33.7,1.5,4168.6
Kazakhstan,44.6,100,23.6,37.9,10.7,23.4,37.4,9.8,27.5,1.1,9030.3
Kenya,,8.1,30.9,31.3,14.6,,47.5,6.2,40.8,,1568.2
Kiribati,,,,,,,,,,,1625.6
Kuwait,,,,,,,,,,,29474.5
Kyrgyzstan,23.8,17.8,31,30.2,15.5,23.6,37.4,9.9,27.3,1.3,1242.8
Lao People's Democratic Republic,,,,,,,44.6,7.6,36.4,,2423.8
Latvia,100,100,35.1,19.5,15.4,19.4,41.5,7.1,34.2,1.4,15684.6
Lebanon,,,,,,,40,7.9,31.8,,7838.3
